iter	Passed	Remaining
432	1508	1975
433	1510	1970
434	1513	1965
435	1520	1966
436	1523	1962
437	1525	1956
438	1526	1950
439	1530	1947
440	1535	1946
441	1539	1943
442	1541	1937
443	1542	1932
444	1545	1927
445	1556	1933
446	1559	1928
447	1560	1923
448	1577	1935
449	1582	1933
450	1588	1933
451	1589	1927
452	1592	1922
453	1593	1916
454	1595	1911
455	1597	1905
456	1598	1899
457	1602	1896
458	1611	1899
459	1613	1893
460	1627	1903
461	1629	1897
462	1642	1904
463	1643	1898
464	1645	1893
465	1649	1890
466	1655	1889
467	1656	1883
468	1659	1878
469	1663	1876
470	1665	1870
471	1667	1865
472	1670	1861
473	1672	1855
474	1684	1861
475	1685	1855
476	1687	1850
477	1689	1844
478	1694	1843
479	1697	1839
480	1699	1834
481	1710	1837
482	1711	1832
483	1713	1826
484	1715	1821
485	1718	1817
486	1720	1811
487	1730	1815
488	1732	1810
489	1735	1806
490	1740	1803
491	1755	1812
492	1757	1807
493	1762	1805
494	1768	1803
495	1769	1798
496	1772	1793
497	1775	1789
498	1776	1784
499	1778	1778
500	1785	1778
501	1787	1773
502	1789	1768
503	1793	1764
504	1794	1759
505	1799	1756
506	1801	1751
507	1821	1764
508	1832	1767
509	1834	1762
510	1840	1760
511	1842	1755
512	1848	1754
513	1850	1749
514	1872	1763
515	1875	1758
516	1880	1756
517	1887	1755
518	1888	1750
519	1894	1748
520	1896	1744
521	1899	1739
522	1901	1733
523	1921	1745
524	1922	1739
525	1931	1740
526	1933	1735
527	1935	1730
528	1937	1725
529	1943	1723
530	1948	1720
531	1949	1715
532	1952	1711
533	1954	1705
534	1964	1707
535	1965	1701
536	1967	1696
537	1970	1692
538	1971	1686
539	1973	1680
540	1974	1675
541	1975	1669
542	1977	1664
543	1979	1659
544	1991	1662
545	1994	1658
546	1995	1652
547	2002	1651
548	2004	1646
549	2008	1643
550	2009	1637
551	2010	1631
552	2012	1626
553	2013	1621
554	2015	1615
555	2017	1611
556	2019	1605
557	2028	1606
558	2030	1601
559	2046	1608
560	2048	1602
561	2050	1598
562	2051	1592
563	2055	1589
564	2058	1585
565	2060	1580
566	2062	1574
567	2064	1570
568	2065	1564
569	2067	1559
570	2077	1560
571	2078	1555
572	2080	1550
573	2082	1545
574	2096	1549
575	2097	1544
576	2099	1539
577	2109	1539
578	2110	1534
579	2112	1529
580	2114	1525
581	2126	1527
582	2128	1522
583	2130	1517
584	2136	1515
585	2139	1511
586	2141	1506
587	2143	1501
588	2152	1501
589	2153	1496
590	2156	1492
591	2158	1487
592	2172	1490
593	2173	1485
594	2175	1480
595	2184	1480
596	2186	1476
597	2188	1471
598	2189	1466
599	2196	1464
600	2199	1460
601	2201	1455
602	2202	1450
603	2206	1446
604	2216	1447
605	2218	1442
606	2219	1437
607	2221	1432
608	2223	1427
609	2231	1426
610	2232	1421
611	2234	1416
612	2235	1411
613	2237	1406
614	2239	1402
615	2242	1397
616	2243	1392
617	2245	1387
618	2246	1382
619	2248	1378
620	2249	1373
621	2251	1368
622	2253	1363
623	2259	1361
624	2260	1356
625	2262	1351
626	2277	1354
627	2279	1350
628	2281	1345
629	2283	1341
630	2285	1336
631	2286	1331
632	2288	1326
633	2292	1323
634	2294	1318
635	2295	1313
636	2297	1309
637	2298	1304
638	2299	1299
639	2300	1294
640	2302	1289
641	2306	1286
642	2308	1281
643	2309	1276
644	2310	1271
645	2312	1267
646	2313	1262
647	2314	1257
648	2315	1252
649	2320	1249
650	2321	1244
651	2323	1240
652	2324	1235
653	2325	1230
654	2326	1225
655	2327	1220
656	2329	1216
657	2332	1212
658	2334	1207
659	2335	1203
660	2337	1198
661	2338	1194
662	2340	1189
663	2341	1184
664	2343	1180
665	2348	1177
666	2350	1173
667	2351	1168
668	2353	1164
669	2355	1160
670	2357	1156
671	2361	1152
672	2364	1149
673	2366	1144
674	2367	1140
675	2369	1135
676	2370	1131
677	2371	1126
678	2373	1121
679	2374	1117
680	2378	1114
681	2380	1109
682	2381	1105
683	2382	1100
684	2384	1096
685	2385	1092
686	2387	1087
687	2392	1085
688	2395	1081
689	2396	1076
690	2398	1072
691	2400	1068
692	2401	1064
693	2408	1062
694	2411	1058
695	2413	1054
696	2415	1050
697	2416	1045
698	2418	1041
699	2424	1039
700	2430	1036
701	2434	1033
702	2437	1029
703	2438	1025
704	2440	1021
705	2442	1017
706	2444	1013
707	2447	1009
708	2449	1005
709	2453	1002
710	2455	998
711	2457	994
712	2461	990
713	2463	986
714	2464	982
715	2469	979
716	2472	975
717	2474	971
718	2475	967
719	2479	964
720	2488	962
721	2489	958
722	2492	955
723	2494	950
724	2498	947
725	2506	945
726	2507	941
727	2509	937
728	2511	933
729	2520	932
730	2522	928
731	2525	924
732	2526	920
733	2538	919
734	2540	916
735	2542	911
736	2553	911
737	2555	907
738	2557	903
739	2558	898
740	2570	898
741	2572	894
742	2574	890
743	2575	886
744	2590	886
745	2602	886
746	2603	881
747	2606	878
748	2623	879
749	2640	880
750	2645	877
751	2651	874
752	2653	870
753	2655	866
754	2656	862
755	2667	861
756	2670	857
757	2671	852
758	2681	851
759	2683	847
760	2684	843
761	2685	838
762	2687	834
763	2698	833
764	2700	829
765	2702	825
766	2704	821
767	2717	820
768	2719	816
769	2729	815
770	2730	811
771	2733	807
772	2734	803
773	2736	798
774	2747	797
775	2749	793
776	2750	789
777	2751	785
778	2762	783
779	2763	779
780	2764	775
781	2766	771
782	2767	766
783	2772	763
784	2775	760
785	2777	756
786	2778	751
787	2779	747
788	2780	743
789	2782	739
790	2783	735
791	2790	732
792	2792	728
793	2794	724
794	2796	721
795	2798	717
796	2803	713
797	2805	710
798	2810	706
799	2811	702
800	2817	699
801	2821	696
802	2822	692
803	2824	688
804	2825	684
805	2827	680
806	2828	676
807	2832	673
808	2834	669
809	2836	665
810	2837	661
811	2838	657
812	2839	653
813	2841	649
814	2844	645
815	2849	642
816	2851	638
817	2852	634
818	2853	630
819	2854	626
820	2856	622
821	2857	618
822	2860	615
823	2863	611
824	2864	607
825	2865	603
826	2867	599
827	2868	595
828	2869	591
829	2870	588
830	2874	584
831	2876	580
832	2878	577
833	2879	573
834	2880	569
835	2882	565
836	2883	561
837	2884	557
838	2885	553
839	2891	550
840	2893	547
841	2895	543
842	2896	539
843	2897	535
844	2898	531
845	2900	527
846	2901	524
847	2903	520
848	2906	517
849	2908	513
850	2910	509
851	2911	505
852	2912	501
853	2914	498
854	2915	494
855	2917	490
856	2919	487
857	2921	483
858	2922	479
859	2923	475
860	2924	472
861	2926	468
862	2928	464
863	2930	461
864	2935	458
865	2938	454
866	2939	450
867	2941	447
868	2942	443
869	2943	439
870	2944	436
871	2946	432
872	2949	429
873	2950	425
874	2952	421
875	2953	418
876	2954	414
877	2956	410
878	2957	407
879	2958	403
880	2961	400
881	2965	396
882	2967	393
883	2969	389
884	2970	386
885	2972	382
886	2974	378
887	2982	376
888	2983	372
889	2985	368
890	2986	365
891	2987	361
892	2989	358
893	2990	354
894	2993	351
895	2994	347
896	2996	344
897	2997	340
898	2999	336
899	3000	333
900	3002	329
901	3004	326
902	3010	323
903	3011	319
904	3013	316
905	3014	312
906	3015	309
907	3017	305
908	3018	302
909	3019	298
910	3023	295
911	3025	291
912	3026	288
913	3028	284
914	3030	281
915	3031	278
916	3033	274
917	3035	271
918	3039	267
919	3040	264
920	3042	260
921	3044	257
922	3045	254
923	3046	250
924	3047	247
925	3051	243
926	3053	240
927	3055	237
928	3056	233
929	3058	230
930	3059	226
931	3060	223
932	3061	219
933	3063	216
934	3064	213
935	3067	209
936	3070	206
937	3072	203
938	3073	199
939	3074	196
940	3076	192
941	3077	189
942	3078	186
943	3083	182
944	3085	179
945	3087	176
946	3088	172
947	3089	169
948	3091	166
949	3092	162
950	3093	159
951	3096	156
952	3098	152
953	3101	149
954	3103	146
955	3104	142
956	3105	139
957	3106	136
958	3108	132
959	3109	129
960	3114	126
961	3116	123
962	3118	119
963	3121	116
964	3123	113
965	3124	109
966	3127	106
967	3130	103
968	3131	100
969	3133	96
970	3134	93
971	3136	90
972	3137	87
973	3138	83
974	3140	80
975	3142	77
976	3145	74
977	3147	70
978	3148	67
979	3149	64
980	3151	61
981	3152	57
982	3153	54
983	3154	51
984	3161	48
985	3163	44
986	3164	41
987	3165	38
988	3166	35
989	3168	32
990	3169	28
991	3173	25
992	3175	22
993	3177	19
994	3179	15
995	3180	12
996	3181	9
997	3182	6
998	3184	3
999	3185	0
